x,y,z,signal,cytoplasm.p
160,890,1,0.0574399564456963,1
160,899,1,0.0711640921269477,1
160,900,1,0.070864185713694,1
160,901,1,0.0691315182498873,1
161,872,1,0.069214505841883,1
161,892,1,0.059975468271036,1
161,898,1,0.0726410566159716,1
161,899,1,0.0780594216397579,1
161,900,1,0.0781159201915174,1
161,901,1,0.0751732602597502,1
161,902,1,0.0726416345157808,1
162,872,1,0.0836089463324969,1
162,873,1,0.0632245389373795,1
162,893,1,0.0570674587400765,1
162,894,1,0.0597439427372524,1
162,895,1,0.064257328453626,1
162,896,1,0.0702454614107756,1
162,897,1,0.0749742386417684,1
162,898,1,0.0838278406275926,1
162,899,1,0.0935175869772236,1
162,900,1,0.0954130098975131,1
162,901,1,0.0876934360394172,1
162,902,1,0.0794381195734618,1
163,873,1,0.0700301347624615,1
163,894,1,0.0624510259396344,1
163,895,1,0.0730255368972281,1
163,896,1,0.0842684243658411,1
163,897,1,0.0876544454931033,1
163,898,1,0.0961464532095046,1
163,899,1,0.111494670159792,1
163,900,1,0.118025256438912,1
163,901,1,0.107527977662969,1
163,902,1,0.091285796883266,1
163,903,1,0.0787575658878905,1
164,873,1,0.0724751345044115,1
164,894,1,0.0652055146171855,1
164,895,1,0.0815229933832595,1
164,896,1,0.0973701501586559,1
164,897,1,0.0971903820394212,1
164,898,1,0.101202416083523,1
164,899,1,0.117054514491982,1
164,900,1,0.129496579446411,1
164,901,1,0.123004736042257,1
164,902,1,0.104049103368396,1
164,903,1,0.085125231596297,1
165,873,1,0.0698396754967556,1
165,894,1,0.0618651711626014,1
165,895,1,0.076089691418485,1
165,896,1,0.0896450154891301,1
165,897,1,0.0882293437615079,1
165,898,1,0.0893164794475712,1
165,899,1,0.101830475237441,1
165,900,1,0.118031153375742,1
165,901,1,0.122846037678313,1
165,902,1,0.109979381478316,1
165,903,1,0.0894492607741518,1
165,904,1,0.0739716355451501,1
166,872,1,0.0852720594264045,1
166,873,1,0.0606190068841312,1
166,895,1,0.0600616284150459,1
166,896,1,0.0689558602956224,1
166,897,1,0.0705329075965095,1
166,898,1,0.0743742017316614,1
166,899,1,0.0833720192045778,1
166,900,1,0.0970688756560578,1
166,901,1,0.106575398281472,1
166,902,1,0.102383454591652,1
166,903,1,0.0878624304550652,1
166,904,1,0.0758001695109873,1
166,905,1,0.0708794941617023,1
167,870,1,0.0936490886685122,1
167,871,1,0.0789872515773834,1
167,872,1,0.0626247143169984,1
167,898,1,0.0611028269632106,1
167,899,1,0.0679970596457705,1
167,900,1,0.0762887307272772,1
167,901,1,0.0837409315726055,1
167,902,1,0.0858063749755513,1
167,903,1,0.0808579840231696,1
167,904,1,0.0751786264722646,1
167,905,1,0.0730907275338737,1
167,906,1,0.0757218876745812,1
168,866,1,0.0863236247895147,1
168,867,1,0.0839671557601798,1
168,868,1,0.0758833281141511,1
168,869,1,0.0677401183142535,1
168,870,1,0.0603663467287521,1
168,899,1,0.0581312720409808,1
168,900,1,0.0636237733545824,1
168,901,1,0.0681368170486199,1
168,902,1,0.0725979382138773,1
168,903,1,0.073197397224175,1
168,904,1,0.0725600680855609,1
168,905,1,0.0726464464162334,1
